,Speaker Party,Speaker,"('abgelehnt', 'artikel')","('ablehn', 'motion')","('aeschi', 'thomas')","('anerkannt', 'fluchtling')","('angab', 'herrn')","('annahm', 'motion')","('antrag', 'kommission')","('antrag', 'kommissionsmehr')","('antrag', 'mind')","('antrag', 'wurd')","('antwort', 'frag')","('artikel', 'absatz')","('automat', 'informationsaustausch')","('beantragt', 'kommission')","('beid', 'rat')","('beitrag', 'leist')","('bereit', 'heut')","('bern', 'konvention')","('beschluss', 'nationalrat')","('betroff', 'person')","('bitt', 'deshalb')","('bitt', 'mehrheit')","('bitt', 'motion')","('branchenorganisation', 'milch')","('buchstab', 'b')","('bund', 'kanton')","('bundesamt', 'verkehr')","('bundesrat', 'antwort')","('bundesrat', 'beantragt')","('bundesrat', 'bleib')","('bundesrat', 'empfiehlt')","('bundesrat', 'folg')","('bundesrat', 'ja')","('bundesrat', 'maur')","('bundesrat', 'meinung')","('bundesrat', 'motion')","('bundesrat', 'vorgeschlag')","('burgerinn', 'burg')","('buro', 'beantragt')","('buro', 'festgestellt')","('buro', 'mandat')","('conseil', 'fédéral')","('cvpfraktion', 'ab')","('cvpfraktion', 'antrag')","('cvpfraktion', 'artikel')","('cvpfraktion', 'begrusst')","('cvpfraktion', 'bitt')","('cvpfraktion', 'erachtet')","('cvpfraktion', 'meinung')","('cvpfraktion', 'mind')","('cvpfraktion', 'stimmt')","('cvpfraktion', 'unterstutzt')","('cvpfraktion', 'vorlag')","('dan', 'le')","('dank', 'bundesrat')","('daran', 'erinn')","('darauf', 'aufmerksam')","('darauf', 'hingewies')","('darauf', 'hinweis')","('davon', 'ausgeh')","('de', 'la')","('deshalb', 'bitt')","('deshalb', 'bundesrat')","('direkt', 'bundessteu')","('direkt', 'demokrati')","('diskussion', 'fuhr')","('drei', 'jahr')","('ehrlich', 'gesagt')","('eidgenoss', 'finanzkontroll')","('eidgenoss', 'steuerverwalt')","('eidgenoss', 'zollverwalt')","('einfach', 'sag')","('elektron', 'stimmabgab')","('enthalt', 'abgelehnt')","('enthalt', 'angenomm')","('entscheid', 'fall')","('entwurf', 'bundesrat')","('erklart', 'buro')","('erleichtert', 'einburger')","('erneuerbar', 'energi')","('ersatz', 'list')","('ersetzt', 'zuruckgetret')","('erst', 'lini')","('erst', 'mal')","('etwa', 'milliard')","('etwa', 'prozent')","('europa', 'union')","('fdpdie', 'liberal')","('fdpliberal', 'fraktion')","('festgestellt', 'wahl')","('finanzkommission', 'empfiehlt')","('fluchtling', 'vorlauf')","('frag', 'herr')","('frank', 'pro')","('frau', 'bundesprasidentin')","('frau', 'bundesratin')","('frau', 'fetz')","('frau', 'kollegin')","('frau', 'nationalratin')","('frau', 'standeratin')","('fuss', 'veloverkehr')","('ganz', 'wichtig')","('gebund', 'ausgab')","('geh', 'davon')","('geht', 'darum')","('geht', 'einfach')","('geht', 'frag')","('geht', 'ja')","('geltend', 'recht')","('gemass', 'artikel')","('gemeinsam', 'organisation')","('genet', 'untersuch')","('genf', 'zentrum')","('gern', 'bereit')","('gesagt', 'herr')","('geschatzt', 'frau')","('geschatzt', 'herr')","('geschatzt', 'kolleg')","('geschatzt', 'kollegin')","('gesetz', 'grundlag')","('gewahlt', 'erklart')","('gibt', 'viel')","('glaub', 'wichtig')","('gleich', 'lang')","('grund', 'dafur')","('grund', 'weshalb')","('gultig', 'zustand')","('gut', 'gemeint')","('guterabwag', 'vorzunehm')","('hauslich', 'gewalt')","('herr', 'bundesrat')","('herr', 'caroni')","('herr', 'kolleg')","('herr', 'matt')","('herr', 'nationalrat')","('herr', 'pardini')","('herr', 'standerat')","('herrn', 'bundesrat')","('herrn', 'standerat')","('heut', 'geltend')","('heut', 'morg')","('heut', 'schon')","('heutig', 'rentnerinn')","('illegal', 'migrant')","('imm', 'mehr')","('indirekt', 'presseforder')","('initiativ', 'altherr')","('insof', 'glaub')","('interess', 'daran')","('international', 'recht')","('international', 'standard')","('international', 'zusammenarbeit')","('ja', 'sag')","('ja', 'schon')","('jugend', 'sport')","('kanton', 'tessin')","('kanton', 'thurgau')","('kenntnis', 'nehm')","('kolleg', 'caroni')","('kolleg', 'cram')","('kolleg', 'engl')","('kolleg', 'fohn')","('kolleg', 'glattli')","('kolleg', 'jositsch')","('kolleg', 'mind')","('kolleg', 'ried')","('kolleg', 'stockli')","('komm', 'sag')","('komm', 'schluss')","('kommission', 'einstimm')","('kommission', 'folg')","('kommission', 'rechtsfrag')","('kommission', 'siksr')","('kommission', 'stimm')","('kommission', 'unterstutz')","('kommissionsmehr', 'unterstutz')","('kommissionssprech', 'gesagt')","('la', 'suiss')","('lang', 'spiess')","('le', 'conseil')","('leb', 'bedroht')","('legt', 'dar')","('lehnt', 'cvpfraktion')","('lehnt', 'spfraktion')","('leib', 'leb')","('letzt', 'jahr')","('leutenegg', 'oberholz')","('losung', 'find')","('lunion', 'européenn')","('macht', 'sinn')","('mandat', 'festgestellt')","('mandat', 'unvereinbar')","('massnahm', 'nr')","('megabit', 'pro')","('mehrheit', 'fdpliberal')","('mehrheit', 'finanzkommission')","('mehrheit', 'kommission')","('mehrheit', 'spfraktion')","('mehrheit', 'svpfraktion')","('milliard', 'frank')","('million', 'frank')","('mind', 'aeschi')","('mind', 'i')","('mind', 'ii')","('mineral', 'rohstoff')","('mocht', 'bitt')","('mocht', 'bundesrat')","('mocht', 'einfach')","('mocht', 'kurz')","('mocht', 'nochmal')","('motion', 'ablehn')","('motion', 'abzulehn')","('motion', 'anzunehm')","('motion', 'verlangt')","('muss', 'schon')","('nach', 'jahr')","('nam', 'bundesrat')","('nam', 'cvpfraktion')","('nam', 'fdpliberal')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('nationalrat', 'beschloss')","('nationalrat', 'folg')","('nein', 'sag')","('neu', 'aufgab')","('offent', 'beschaffungswes')","('offent', 'hand')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('parlamentar', 'mandat')","('parlamentar', 'versamml')","('parlamentsgesetz', 'parlamentar')","('partenair', 'tarifair')","('patientinn', 'patient')","('polit', 'bildung')","('postulat', 'abzulehn')","('pro', 'jahr')","('recht', 'gesagt')","('regional', 'personenverkehr')","('rentnerinn', 'rentn')","('richtig', 'gesagt')","('rund', 'milliard')","('rund', 'million')","('rund', 'prozent')","('sach', 'kanton')","('sag', 'bundesrat')","('sag', 'gern')","('sag', 'ja')","('sag', 'mal')","('sag', 'sei')","('schluss', 'gekomm')","('schon', 'gesagt')","('schutz', 'privatsphar')","('seit', 'fahn')","('seit', 'jahr')","('servic', 'public')","('sicherheitspolit', 'kommission')","('sicht', 'bundesrat')","('sicht', 'cvpfraktion')","('sicht', 'fdpliberal')","('sicht', 'kommission')","('sicht', 'spfraktion')","('sicht', 'svpfraktion')","('sinn', 'bitt')","('sozialdemokrat', 'fraktion')","('spfraktion', 'antrag')","('spfraktion', 'begrusst')","('spfraktion', 'bitt')","('spfraktion', 'bittet')","('spfraktion', 'lehnt')","('spfraktion', 'mind')","('spfraktion', 'steht')","('spfraktion', 'unterstutzt')","('spfraktion', 'vorlag')","('sprech', 'spfraktion')","('st', 'gall')","('stadt', 'gemeind')","('standerat', 'engl')","('stellungnahm', 'bundesrat')","('stimm', 'abgelehnt')","('stimm', 'enthalt')","('strateg', 'ziel')","('svpfraktion', 'bitt')","('svpfraktion', 'lehnt')","('svpfraktion', 'unterstutzt')","('svpfraktion', 'vorlag')","('umsetz', 'masseneinwanderungsinitiativ')","('unbegleitet', 'minderjahr')","('uns', 'kommission')","('uns', 'sicht')","('unternehmenssteuerreform', 'iii')","('unterstutzt', 'cvpfraktion')","('unterstutzt', 'fdpliberal')","('unterstutzt', 'spfraktion')","('unterstutzt', 'svpfraktion')","('unvereinbar', 'war')","('versich', 'bundesrat')","('viel', 'dank')","('vier', 'jahr')","('volkerrecht', 'vertrag')","('vorab', 'festzuhalt')","('vorhin', 'gesagt')","('vorlag', 'einzutret')","('vorlauf', 'aufgenomm')","('vorlauf', 'aufnahm')","('wahl', 'herrn')","('wak', 'rat')","('war', 'buro')","('weshalb', 'bundesrat')","('wurd', 'gesagt')","('wurd', 'recht')","('wurd', 'stimm')","('z', 'b')","('zinsbereinigt', 'gewinnsteu')","('zwanzig', 'jahr')","('zweit', 'saul')","('zwingend', 'lebenslang')","('à', 'la')"
94,Schweizerische Volkspartei (SVP),Diana Gutjahr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
95,Schweizerische Volkspartei (SVP),Erich Hess,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5,3,0,1,0,0,4,0,0,0,2,0,0,0,1,1,0,1,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,Schweizerische Volkspartei (SVP),Erich von Siebenthal,0,0,0,0,0,1,0,0,3,0,1,10,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2,5,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Schweizerische Volkspartei (SVP),Felix Müri,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,9,0,3,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Schweizerische Volkspartei (SVP),Franz Grüter,0,0,0,0,0,0,0,1,8,0,0,0,3,0,0,0,0,0,3,0,3,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,1,7,5,0,1,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6,0,4,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,4,5,2,1,0,0,3,2,0,0,1,0,0,0,0,6,0,8,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,5,2,0,0,28,42,0,2,2,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,1,0,0,0,15,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
99,Schweizerische Volkspartei (SVP),Franz Ruppen,0,0,0,0,0,1,0,2,13,0,0,42,0,1,0,0,1,6,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,5,0,0,0,4,2,0,0,0,0,0,1,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,2,0,0,10,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
100,Schweizerische Volkspartei (SVP),Gregor Rutz,0,1,1,0,0,1,0,0,7,0,1,13,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0,0,0,0,15,4,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,2,0,13,0,4,0,0,0,4,0,0,25,0,13,4,1,0,0,0,0,0,0,3,3,9,2,3,0,1,0,0,3,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,2,2,0,0,11,1,0,0,0,4,0,0,2,5,0,0,0,2,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,2,0,0,9,5,0,5,6,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,1,0,0,2,4,19,0,0,0,0,0,0,0,2,0,0,0,6,1,1,0,1,0,1,3,0,2,3,2,11,0,3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,5,0,0,2,0,3,0,0,0
101,Schweizerische Volkspartei (SVP),Guy Parmelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
102,Schweizerische Volkspartei (SVP),Hannes Germann,0,6,0,0,0,12,7,6,13,1,1,35,17,0,5,3,5,0,10,1,1,7,4,0,3,13,0,2,7,2,0,8,5,13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,10,3,0,0,1,1,13,7,6,8,8,26,14,8,2,0,2,2,5,9,0,0,2,0,0,5,3,2,3,7,0,0,0,1,0,5,10,1,24,28,2,0,0,0,8,5,3,18,3,0,7,3,9,0,0,0,0,1,0,0,2,0,3,0,4,1,2,4,2,0,11,0,0,29,4,7,0,0,0,0,2,0,3,11,4,0,0,6,0,0,1,5,4,0,2,8,9,0,2,0,2,1,0,4,2,0,2,7,2,1,2,2,3,9,6,0,7,2,0,0,0,4,0,0,0,0,0,0,15,0,11,0,4,0,0,0,0,0,2,7,0,0,102,236,0,11,7,0,2,4,6,0,0,3,3,8,1,3,14,0,0,0,0,0,0,5,1,1,2,1,2,9,0,0,0,0,0,0,0,25,3,0,0,0,13,10,9,1,2,1,4,1,4,4,0,2,2,5,6,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,1,45,0,0,0,0,0,0,1,4,2,3,0,0,0,0,0,0,0,12,4,0,1,10,4,3,0,0,0,0,1,0,0,7,17,7,11,0,0
103,Schweizerische Volkspartei (SVP),Hans Egloff,0,1,0,0,0,5,4,2,2,0,0,2,0,4,1,0,8,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,3,0,0,1,4,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,1,0,0,0,0,0,0,9,0,2,2,8,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
104,Schweizerische Volkspartei (SVP),Hans-Ueli Vogt,0,0,0,0,0,0,2,2,10,0,0,17,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,8,0,0,0,0,0,1,6,0,0,0,6,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,15,0,0,1,0,1,0,0,3,0,0,0,7,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
105,Schweizerische Volkspartei (SVP),Hansjörg Knecht,0,0,0,0,0,1,2,3,9,0,0,17,0,0,0,0,4,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,2,0,0,6,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,8,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
106,Schweizerische Volkspartei (SVP),Hansjörg Walter,0,0,1,0,0,1,0,0,1,0,0,7,0,0,2,1,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,1,0,5,1,0,1,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0
107,Schweizerische Volkspartei (SVP),Heinz Brand,0,0,1,4,0,2,0,1,2,0,0,18,0,0,0,1,1,0,0,3,3,0,3,0,0,1,0,1,3,0,0,1,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,5,1,0,5,0,0,0,0,2,0,0,0,1,0,0,2,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,1,9,0,4,0,0,0,0,0,3,7,0,1,0,6,3,0,0,0,0,0,1,0,0,1,4,0,1,0,0,1,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,1,2,7,1,1,0,0,2,0,0,0,2,0,0,3,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,20,0,0,0,0,8,0,0,5,0,0,1,0,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,14,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0,0,0,0,0,0,1,1,0,4,0,0,0
